content,day,person
Siento que el último exámen ayudo mucho,7/22/23,Omar
"La neta si, tenía algo de miedo de no pasar",7/22/23,Omar
Nos andamos viendo en AV4 😎,7/22/23,Omar
No maaaaaaa,7/22/23,Omar
Ya puedes dormir tranquilo jajaja,7/22/23,Omar
Felicidades we,7/22/23,Omar
Listo we,09/02/2023,Omar
"Jajajaj wey, el Esteban dijo domingo y no sábado",09/02/2023,Omar
De nada bro jaja,09/02/2023,Omar
"I need a resume of threes paragraphs of the book ""the reader"" by Bernhard Schlink and use a lot of sentences with past simple, past continues, past perfect and try to combine this times in an sentence, like use p. Simple and p. Continues in a sentence",09/09/2023,Omar
"Well, it's correct but I need much more use of times in past like I asked you",09/09/2023,Omar
Mejor con datos,9/23/23,Omar
Si we,9/23/23,Omar
Ahorita veo,9/23/23,Omar
Xd,9/23/23,Omar
El profesor decidirá,9/23/23,Omar
Nice,9/23/23,Omar
Estas bien,9/23/23,Omar
En todas,9/23/23,Omar
Gracias,10/14/23,Omar
Todas estan bien,10/14/23,Omar
Las dos son unbelievable,10/14/23,Omar
That's how I see it anyway,10/14/23,Omar
Solo cambia esa,10/14/23,Omar
Vavavava,10/14/23,Omar
Nop,10/14/23,Omar
A fuerzas bro,10/14/23,Omar
Te veré en AV5,10/14/23,Omar
Ya voy de regreso pai,11/18/23,Omar
Oye we,12/18/23,Omar
"Mariana anda preguntando por ti, me pidió tu número",12/18/23,Omar
Se lo pasó? Xd,12/18/23,Omar
Va we,12/18/23,Omar
Qué hay we,3/23/24,Omar
"No sabía que serán dos, pero va, lo mandamos al mismo tiempo",3/27/24,Omar
"Solo no se te olvidé entrar a la junta informativa en Skype, no pagues nada hasta que nos expliquen bien que onda",3/27/24,Omar
"Ah, ciertoooo",3/27/24,Omar
De seguro funcionará hasta el día de la junta,3/27/24,Omar
Qué hay bro,4/19/24,Omar
Oye ¿Ya enviaste el formulario para la inscripción a CELEX?,4/19/24,Omar
"No, hoy haré el pago y llenaré el formulario",4/19/24,Omar
Yo creo si daré una repasada hoy en la tarde,4/19/24,Omar
Oye bro,4/26/24,Omar
No te han mandado algún mensaje acerca del CELEX,4/26/24,Omar
Como el canal de classroom o algo así?,4/26/24,Omar
Ah no manches,4/26/24,Omar
Acabó de revisar y me mandó el correo jajajaja,4/26/24,Omar
Igual saque un avanzado 4 pero la neta yo ando en un básico 3 😂😂😂,4/26/24,Omar
"Ojalá que si bro, ya es el último escalón",4/26/24,Omar
Va X2,4/26/24,Omar
"Si, yo te aparto un lugar cuando llegue jaja",4/27/24,Omar
Voy llegando jajaja,4/27/24,Omar
Qué salón es?,4/27/24,Omar
Tengo un chingo de sueño jajaja,4/27/24,Omar
Es que me fui a dormir a las 7 de la tarde noche,4/27/24,Omar
Cuál?,4/27/24,Omar
Spear time?,4/27/24,Omar
O como se diga jajaja,4/27/24,Omar
Vavavava,4/27/24,Omar
Ahorita le pregunto,4/27/24,Omar
No le mentaste su madre? 😂,05/06/2024,Omar
"Mames, se ve bien Godínez para ir a la Uni 😆",05/06/2024,Omar
Qué hay we? Cómo estás?,5/23/24,Omar
"En donde yo he comprado es en el plantón de Hidalgo, justo saliendo de la estación del metro del lado de la AV. Hidalgo, no tengo un contacto, solo he ido y ahí te empiezan a ofrecer o tú te acercas a preguntar a alguien que se vea que vende y listo, andan en $50 el churro",5/23/24,Omar
Ya traigo tu toque mi bro,5/24/24,Omar
Quieres uno o dos?,5/24/24,Omar
"va, aparta unos 100 varos para mañana",5/24/24,Omar
Que oferton!,5/24/24,Omar
"No we, awanta un rato más, aún andamos viendo cosas importantes",5/25/24,Omar
Jajajaa,5/25/24,Omar
Va,5/25/24,Omar
"Bueno, 1:15 y nos vamos juntos jajaja",5/25/24,Omar
Me lleva la verga we,10/12/2024,Omar
No hay internet,10/12/2024,Omar
Me sentó con este we que tiene un tic raro,10/12/2024,Omar
Y el Aldo ya anda hablando de feminismo ptm jajajaja,10/12/2024,Omar
Hace un ruidito con su garganta jajajaja cada medio minuto,10/12/2024,Omar
Literal así le anda diciendo jajaja,10/12/2024,Omar
"Pinche Aldo, todo un cabrón",10/12/2024,Omar
"Cuando esté viejo y acabado como el, quiero ser así",10/12/2024,Omar
"Nmms paisano, llegaste tu y se apesto a culo la escuela, date un riego 🤢",10/15/24,Omar
"Naco ir en el casco, ni papel tienen",10/15/24,Omar
Jajajaja,10/15/24,Omar
Qué haces allá por mis rumbos? 👀,10/15/24,Omar
"No tienen para comprar papel de baño, menos van a tener para los Kleenex jajajaja",10/15/24,Omar
"Ah nmms, que chido we, disfruta 🤙🏽",10/15/24,Omar
Cuál es el starter pack? Jajaja,10/15/24,Omar
Ahí hasta arriba,10/15/24,Omar
"Literal, por ese foco",10/15/24,Omar
"No te ardas papi, yo sé cuánto quisieras que tú escuela se viera así de bonita como la ESCOM",10/15/24,Omar
A eso se va al concierto de los cigarettes ¿o no? Jajaja,10/15/24,Omar
Que te digo,10/15/24,Omar
Recién construido eh 🤙🏽,10/15/24,Omar
Así tú cuñado el sábado jajajaja,10/15/24,Omar
"El que está más hacia la calle, desde ahí hasta el pasillo que une los edificios, al fondo",10/15/24,Omar
Andale,10/15/24,Omar
Nmms nada wey,10/18/24,Omar
Solo el lunes me puse a estudiar vocabulario jajaja,10/18/24,Omar
Wey ando bien pedo jajajaka,10/18/24,Omar
Y justo vine a recoger la nave nueva,10/18/24,Omar
"Pues si bro, que sea lo que dios quiera, mañana con el miedo te acordarás de todo jajajaja",10/18/24,Omar
"A jugar billar ahí por la raza, pero me tomé como 7 cheves jajaja",10/18/24,Omar
"Gracias we, si está chulo y chido jaja",10/18/24,Omar
"Si we, a ver si me acuerdo mañana. Jajajajaja",10/18/24,Omar
Y tú estudiaste we?,10/18/24,Omar
Mames weeee,10/20/24,Omar
No sé 🫣,10/20/24,Omar
Y qué tal en enero 18?,10/20/24,Omar
Mira esto,10/20/24,Omar
https://rosaliadecastroexams.com/faq/cual-es-la-diferencia-entre-las-modalidades-cb-computer-based-y-pb-paper-based-5/,10/20/24,Omar
No está nada mal la opción computer based,10/20/24,Omar
Pero piénsalo un rato y me dices para ver qué hago,10/20/24,Omar
A la madre we 🫠🫠🫠,10/20/24,Omar
Weeeeee,10/20/24,Omar
"Osea que te diga si con el examen que hicimos ayer, el cree que sea buena idea aplicarlo",10/20/24,Omar
Qué hay we?,10/24/24,Omar
"Perdón, se me fue el pedo por la escuela y ya no te respondí",10/24/24,Omar
A huevo pa 😎,10/24/24,Omar
Y esto we?,10/24/24,Omar
"Oye nmms, que chido lo que me mandaste",10/24/24,Omar
16,05/05/2019,Itza
😍😍😍😍,5/29/19,Itza
Es bellísimo,5/29/19,Itza
Que paso???,6/18/19,Itza
Lo manda Evelyn,7/20/19,Itza
"Bueno, mañana en la mañana",7/20/19,Itza
Nop,7/21/19,Itza
Ah perdón,7/21/19,Itza
Digo si,7/21/19,Itza
Aquí las traigo,7/21/19,Itza
Kakas,7/22/19,Itza
Tocame la corneta 7u7,7/22/19,Itza
Vaaaaa,7/22/19,Itza
Espera,7/22/19,Itza
Wee,7/22/19,Itza
Voltea,7/22/19,Itza
Volteaaaa,7/22/19,Itza
"A sí, está bien itza",7/22/19,Itza
Me dices cuándo me salga,7/22/19,Itza
Sip,7/22/19,Itza
Camara weeee,7/22/19,Itza
🤬🤬🤬🤬,7/22/19,Itza
Ya ando aquí como menso desde hace 15 minutos,7/22/19,Itza
Corre,7/22/19,Itza
Corre,7/22/19,Itza
Plis,7/22/19,Itza
Bb,7/22/19,Itza
🥺🥺🥺🥺,7/22/19,Itza
🥺🥺🥺🥺,7/22/19,Itza
🥺🥺🖕🏼,7/22/19,Itza
Bueno va ❤️🥺,7/22/19,Itza
Qué nos vamos a las 8 dijo 🍦,7/22/19,Itza
Me voy a despertar como 7:30,7/22/19,Itza
Me lo dijo 🍦🍦🍦,7/22/19,Itza
😂😂😂🤣😆,7/22/19,Itza
Voy,7/23/19,Itza
Ya te estás cambiando?,7/24/19,Itza
En una????,7/24/19,Itza
Nmms 💔,7/24/19,Itza
Bueno tú me avisas a qué hora,7/24/19,Itza
En cuanto te veo???,7/24/19,Itza
Vavava,7/24/19,Itza
"Va, dame un minuto",7/24/19,Itza
No te subas aun,7/24/19,Itza
A las pinches 8,7/27/19,Itza
😕😕😕,7/27/19,Itza
Qué estos mens se van a despertar a las 6,7/27/19,Itza
🥺🥺🥺,7/27/19,Itza
Creo que se van a ir temprano,7/27/19,Itza
Si te vas a levantar?,7/27/19,Itza
Yo digo que ya mejor descanses,7/27/19,Itza
🥰,7/27/19,Itza
Allá voy,08/10/2019,Itza
Pitzaaaa,08/11/2019,Itza
Dale a mi foto un enorme,08/11/2019,Itza
❤,08/11/2019,Itza
En cortoooo 🤪,08/11/2019,Itza
❤️,09/01/2019,Itza
💔,09/01/2019,Itza
Vientos Itza 🤩,11/23/19,Itza
Muy bonito el trofeo 🥰,11/23/19,Itza
Siéntete orgullosa 🥺❤️,11/23/19,Itza
Por dónde vienes apestosa? 🥺❤️❤️❤️,11/23/19,Itza
El pegamento en dónde se consigue,12/16/19,Itza
Está bien,12/16/19,Itza
Cual dibujo we?,12/16/19,Itza
Si itza,12/16/19,Itza
Yo voy,12/16/19,Itza
Vi esas dos,1/23/20,Itza
La de florida lo único malo es que es M,1/23/20,Itza
Que pitos???,3/25/20,Itza
"Sube por el, tambien tengo unas cosas tuyas que no te he dado",3/25/20,Itza
Subeeee weeeee,3/25/20,Itza
Contestame en Messenger :c,3/25/20,Itza
Ahorita lo hago,4/21/20,Itza
Si weeeeeeee,4/23/20,Itza
You deleted this message,4/25/20,Itza
Nel c:,4/29/20,Itza
"Si, dame 10 minutos, la compu no está encendida",05/07/2020,Itza
Será en la casa c':,05/08/2020,Itza
Ven tu we,05/08/2020,Itza
Ya estoy listo 🥺,05/08/2020,Itza
"Simon, para tomarnos nosotros dos 🥺",05/08/2020,Itza
te vale vale queso jajajajajajajajssaldglqwigdleygdiheldiaughduaegdhsygjajajajaja,5/17/20,Itza
mi tarea c:,5/17/20,Itza
Cambio de bujías,5/30/20,Itza
1.-Sistema de encendido,5/31/20,Itza
NORMAS DE AJUSTE,06/02/2020,Itza
Se ve vergas 🥴👌,6/26/20,Itza
Por qué ya no se ve lo de atrás. 😂👌,6/26/20,Itza
"Simon, o al insta 🥰",6/26/20,Itza
avenger2013,08/08/2020,Itza
Ya weeee,08/08/2020,Itza
Ahí esta,08/08/2020,Itza
"Gracias al sistema de enfriamiento, el motor de un vehículo se mantiene en la",9/29/20,Itza
No le tomes importa jaja,9/29/20,Itza
estoy chulo? 😏,9/30/20,Itza
es para una materia,9/30/20,Itza
No le hagas caso jajjaa,10/01/2020,Itza
http://meet.google.com/wwa-rkst-igp,10/06/2020,Itza
https://rodriguezruben03.wordpress.com/wp-admin/index.php,10/07/2020,Itza
https://practicasrubenrm.wordpress.com,10/08/2020,Itza
Una banda acoplada a la polea del,10/09/2020,Itza
"1. Desconecta la bateria del vehiculo. Recuerda que el airbag está en el volante y nos toca retirarlo. Terv cuidado con el anillo del airbag,",11/05/2020,Itza
Patassss,11/14/20,Itza
Weeeeee,11/14/20,Itza
Wacha,11/14/20,Itza
La pista seguía bien mojada jajajaja y pues stroll solo se fue despacito pero seguro 😂,11/14/20,Itza
Como en los videojuegos 🥴,11/14/20,Itza
https://prezi.com/ype_vpvdj0tk/historia-de-solidworks/?frame=d15cc3564e1f0e7f5a849a0ff8d7030677379ca9,11/17/20,Itza
https://prezi.com/bioyvdo9aqet/historia-y-evolucion-de-los-programas-cad/,11/17/20,Itza
https://chat.whatsapp.com/KxWnMDd3ce01CWlPHICI89,11/21/20,Itza
Sabes que patas,12/10/2020,Itza
Dile a mamá mejor de estos en la opción,12/10/2020,Itza
Necesito más unos negros que unos azules 😔,12/10/2020,Itza
Lo confirmado el día de ayer 🤠👌,12/11/2020,Itza
Dile que iba a ir a saludar pero ya no puedo pasar,12/22/20,Itza
🤧🤧🤧,12/22/20,Itza
Que paso?,12/23/20,Itza
Estoy jugando no se ven los pinches mensajes,12/23/20,Itza
Reciba dinero por responder encuestas cortas. Descargue Google Opinion Rewards ahora mismo: https://googleopinionrewards.page.link/share,12/25/20,Itza
Wey jajajajajaja,12/28/20,Itza
"Dice ""bienvenido a McDonald's, ahora dime tú puta orden""",12/28/20,Itza
😆😆😆,12/28/20,Itza
Jajaja alch,12/28/20,Itza
6752664620160778241,12/28/20,Itza
No le hagas caso,12/28/20,Itza
https://www.amazon.com.mx/Transformers-Studio-Voyager-Figura-Megatron/dp/B07WT5QSKJ/ref=sr_1_3?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=216OR1YFVUU7S&dchild=1&keywords=transformers&qid=1610723921&sprefix=transf%2Caps%2C200&sr=8-3#customerReviews,1/15/21,Itza
https://quizizz.com/join,1/31/21,Itza
no le des importancia jajjaa,1/31/21,Itza
You deleted this message,02/04/2021,Itza
/ ____._______.______ \,02/04/2021,Itza
/ ____._______.______ \,02/04/2021,Itza
No le hagas caso xd,2/24/21,Itza
Lo más rico que verás el día de hoy,03/05/2021,Itza
Checa tu Telegram neni,03/07/2021,Itza
"En 1954, Citroen introdujo la primera suspensión trasera autonivelante, y luego, en 1955, fue pionera en la autonivelación de las cuatro ruedas, utilizando su vástago hidroneumático. Desde entonces, millones de automóviles Citroën han sido equipados con autonivelación como una característica de diseño discreta pero integral. 1966, Rolls-Royce autorizó el sistema hidroneumático de Citroën para que se ajustara al eje trasero del Silver Shadow.",03/11/2021,Itza
"¡Se ve hermoso! Un gran diseño que va muy bien con la gama actual de autos honda, todos los cambios y actualizaciones le dan mucha frescura al modelo, como todo buen honda, se ve duradero. Posiblemente el nuevo subcompacto a vencer. Me encanto",3/14/21,Itza
"Un frente imponente con líneas agresivas , una combinación entre lo elegante y deportivo, buen balance para este segmento sin olvidar el comfort y la seguridad con distintivo de la calidad de acabados y materiales a la que Honda nos tiene acostumbrados",3/14/21,Itza
We es para una buena causa 🥺,3/14/21,Itza
Soy muy fan de este canal de radio,3/14/21,Itza
Y andan rifando un nuevo honda 🥺,3/14/21,Itza
Pero subí mi comentario y vi uno mejor que el mío y pues combine ambos 🥺,3/14/21,Itza
Puedo darle like a mi comentario desde tu insta? 🥺,3/14/21,Itza
We ando muy esperanzado,3/14/21,Itza
Arre,3/14/21,Itza
Listo,3/14/21,Itza
Ojalá les guste 👌,3/14/21,Itza
Como quiera ya borre cosas de mi insta donde se ve en que escuela voy y mi edad,3/14/21,Itza
Para que no valga kk y digan que soy menor jajaja,3/14/21,Itza
"Ni pedo, ya habrán revelado el ganador para ese momento jajaja",3/14/21,Itza
No hay vuelta de hoja,3/14/21,Itza
osvaldo_obil@yahoo.com.mx,3/15/21,Itza
https://vm.tiktok.com/ZMeSxgauK/,3/18/21,Itza
Ando en clases we 😞,3/22/21,Itza
https://vm.tiktok.com/ZMeDDdMtm/,3/23/21,Itza
"Un sprag es un tipo de embrague que girará en una dirección pero no en la otra. ... Este tipo de embrague tiene muchas aplicaciones. El bendix de un motor de arranque contiene uno y girará libremente durante unos segundos cuando el motor arranque, pero el motor de arranque todavía está activado.",3/26/21,Itza
https://es.qaz.wiki/wiki/Sprag_clutch,3/26/21,Itza
https://vm.tiktok.com/ZMefqRmLY/,04/02/2021,Itza
Vamos a ser pilotos 😳👌,04/02/2021,Itza
Hay que tener fe jajaj,04/02/2021,Itza
https://vm.tiktok.com/ZMePQ8d7a/,04/04/2021,Itza
Ventajas.,4/22/21,Itza
https://www.3m.com.mx/3M/es_MX/novec-la/aplicaciones/enfriamiento-por-inmersion-novec/,4/29/21,Itza
no le hagas caso xd,4/29/21,Itza
Mándame por mensaje de que sabor de sushi quieres,4/29/21,Itza
De un chingo jajajss,4/29/21,Itza
Chécalos en Uber eats,4/29/21,Itza
Tengo que hacer tarea beybi,4/29/21,Itza
Para que los cheques bien,4/29/21,Itza
Ni me puedes por no mames jajaja 🥺,4/29/21,Itza
Oir*,4/29/21,Itza
Va güe,4/29/21,Itza
No le hagas caso,05/02/2021,Itza
🥺🥺🥺,05/02/2021,Itza
https://vm.tiktok.com/ZMeVf5U5h/,05/04/2021,Itza
9173288001,05/04/2021,Itza
"Esta bonito el coche, no?",05/06/2021,Itza
Some one to you,05/07/2021,Itza
"En México el mercado de detergentes ha venido incrementando constantemente, esto se debe principalmente al crecimiento demográfico que ha experimentado el país en los últimos años por lo cual el mercado ha aumentado.",05/07/2021,Itza
El objetivo final del análisis del mercado es el poder determinar el mercado meta del total de consumidores que existen de productos de limpieza en México.,05/07/2021,Itza
You deleted this message,05/10/2021,Itza
Cómo crecen 🥺🥺🥺,05/10/2021,Itza
Weeeeeee,5/28/21,Itza
HISTORIA DE LA TEORÍA DE LAS ONDAS,06/08/2021,Itza
"medio (el aire) y en forma de onda. Isaac Newton publicó una descripción matemática sobre cómo el sonido viaja en su recorrido. En el siglo 18, el matemático y científico Francés Jean Le Rond d'Alembert derivó la ecuación de la onda, una completa y general descripción matemática de las ondas. Esta ecuación constituyó la base para las siguientes generaciones de científicos que estudiaron y describieron el fenomeno de las ondas.",06/08/2021,Itza
"estas serian las actualmente conocidas como ondas mecánicas. Despues Huygens supuso que todo objeto luminoso produce perturbaciones en el éter, al igual que un silbato en el aire o una piedra en el agua, las cuales dan lugar a ondulaciones regulares que se propagan a su través en todas las direcciones del espacio en forma de ondas esféricas, este descubrimiento seria la base para la definición acutal de onda electromagnética como la forma de propagación de la radiacion electromagnetica a través del espacio.",06/08/2021,Itza
La luz se refleja,06/08/2021,Itza
Weeeee,06/09/2021,Itza
Es papá jajajaja,06/09/2021,Itza
Jajaja,06/11/2021,Itza
You deleted this message,06/12/2021,Itza
"Yo fui por sushi, culoooo",06/12/2021,Itza
"Que cola, es pizza hut",06/12/2021,Itza
Guardame un jamón 🥺🤞,06/12/2021,Itza
Mames,06/12/2021,Itza
Cómo que también se acabaron los libros de boulevard,06/12/2021,Itza
We jajajajaj,06/12/2021,Itza
You deleted this message,6/20/21,Itza
Itza!!!!,6/20/21,Itza
Itza!!!!,6/20/21,Itza
Itza!!!!,6/20/21,Itza
Ahhhhh,6/20/21,Itza
Se me salió un pedo 🙃,6/20/21,Itza
Jajajaja,6/20/21,Itza
Cámara pon esa de fondo,6/20/21,Itza
Esta,6/20/21,Itza
Weeeeee,6/26/21,Itza
Mande,6/26/21,Itza
"Si we, yo.te llevo",6/26/21,Itza
Cuando acabes le marcas al jefe o a mi,6/27/21,Itza
Estoy en la salida,6/27/21,Itza
You deleted this message,07/06/2021,Itza
Itzaaaaa,07/08/2021,Itza
Me tiré un pedote,07/08/2021,Itza
☹️,07/08/2021,Itza
No manches jajaja,7/15/21,Itza
No te bañes ya,7/15/21,Itza
Dile a papá,7/15/21,Itza
O bañate con el agua de los botes jajaja,7/15/21,Itza
Con Canek,7/15/21,Itza
Si,7/15/21,Itza
Espera,7/15/21,Itza
Que la dejes salir tantito,7/15/21,Itza
Otro rato jajaja,7/15/21,Itza
https://vm.tiktok.com/ZMdpdSBkx/,7/18/21,Itza
https://vm.tiktok.com/ZMdpdNv9w/,7/18/21,Itza
https://vm.tiktok.com/ZMdpdnaVh/,7/18/21,Itza
https://vm.tiktok.com/ZMdpRw5bs/,7/18/21,Itza
Esta perro 😎🤙,7/24/21,Itza
Perrin*,7/24/21,Itza
"Creo que sí, llegue en el último punto jajsja",7/24/21,Itza
Ambos son potencia dicen,7/24/21,Itza
"No es canal, está en vivo con el nombre ""voleibol""",7/24/21,Itza
En el yutu,7/24/21,Itza
Esta chulo?,7/24/21,Itza
"Es para Melissa, de regalo",7/24/21,Itza
Te late?,7/28/21,Itza
O te busco otro?,7/28/21,Itza
O están esos,7/28/21,Itza
El Subaru WRX STI 😎✌️,7/28/21,Itza
Ahí voy itza,7/29/21,Itza
Ja,7/31/21,Itza
Alv,7/31/21,Itza
https://vm.tiktok.com/ZMdTeJs5y/,08/03/2021,Itza
https://vm.tiktok.com/ZMdE3WwW1/,08/09/2021,Itza
Weeeeeeey,08/09/2021,Itza
Si o queso,08/09/2021,Itza
Weeeeeeee,08/10/2021,Itza
Euuuu,8/20/21,Itza
Jajajaja,8/20/21,Itza
Nmms,8/20/21,Itza
Ahí voy,8/20/21,Itza
Babad,8/20/21,Itza
Babas*,8/20/21,Itza
Ya entraste?,8/21/21,Itza
Itzaaaaaa,8/21/21,Itza
Va,8/21/21,Itza
Conecta el cable,8/21/21,Itza
Cuando empiece apaga el internet de tu cel,8/21/21,Itza
Y te metes a face,8/21/21,Itza
En la laptop,8/21/21,Itza
Por si me quieres preguntar algo,8/21/21,Itza
"Voy a apagar mi internet, chao",8/21/21,Itza
Tobey Maguire FanClub (@tobey_maguire2) Tweeted:,8/22/21,Itza
Weeeeeey,8/22/21,Itza
Alv,8/22/21,Itza
Alverguisima,8/22/21,Itza
Ahhhhhhhhhhhhh,8/22/21,Itza
"Se filtró, es oficial, nada fake",8/22/21,Itza
Marvel hace los posible por borrar todo del Internet,8/22/21,Itza
Veloooooo,8/22/21,Itza
Antes que sea tarde,8/22/21,Itza
"Los rayos son de electro, en el suelo se ve una granada del duende verde y al final uffff",8/22/21,Itza
Rikisimo,8/22/21,Itza
Ve mis mensajes,8/22/21,Itza
Xd,8/22/21,Itza
Siiiii,8/22/21,Itza
Weeee,8/22/21,Itza
Siiiii,8/22/21,Itza
Y electro de el sorprendente,8/22/21,Itza
Y tal vez el duende del primero,8/22/21,Itza
Y octopus original c:,8/22/21,Itza
Sony anda borrando todo 😩,8/22/21,Itza
Se vio mamalon?,8/22/21,Itza
Hicieron un evento para mostrar el tráiler a unos cuantos en secreto y algún trabajador lo filtro,8/22/21,Itza
WebOS jajajajaja,8/22/21,Itza
Mamo,8/22/21,Itza
Simón 😂,8/22/21,Itza
Veeeen,8/22/21,Itza
https://vm.tiktok.com/ZMRMxmPQW/,8/26/21,Itza
Arumi cerrando ciclos,8/29/21,Itza
Xdn't,8/29/21,Itza
Te falta este,09/01/2021,Itza
Listo jajajqja,09/01/2021,Itza
El paquete completo jsjsjs,09/01/2021,Itza
Sip,09/03/2021,Itza
Dile plocs,09/03/2021,Itza
Dile que gris,09/03/2021,Itza
Plis,09/03/2021,Itza
https://www.nonolive.com/room/49253795,09/05/2021,Itza
Si jajajja,09/07/2021,Itza
Deja busco,09/07/2021,Itza
Ya se armó 🤑🤟,09/07/2021,Itza
Neta weeeee,09/07/2021,Itza
Pasa preguntas,09/07/2021,Itza
🥲,09/07/2021,Itza
Te ayudo desde aquí,09/07/2021,Itza
Que paso? :((,09/07/2021,Itza
Te dijo algo la maestra?,09/07/2021,Itza
No,09/10/2021,Itza
Cómo que peda?,09/10/2021,Itza
"Responsabilidad ante Dios. Las creencias también sostienen la responsabilidad. Y las creencias religiosas nos hacen pensar que la responsabilidad no solo es ante los hombres o ante la naturaleza, sino ante Dios. Quizá sea así, siempre que la idea de Dios no encubra ni delitos contra la humanidad ni otros tipos de prácticas inmorales6, es decir, nos haga irresponsables. Ser responsable ante Dios es ser fieles a la enseñanza o a los mandatos que se suponen superiores. Sin embargo, cuando por ser fiel a Dios (mejor sería decir “a mis creencias acerca de Dios”) hiero la dignidad del otro, entonces los criterios de mi responsabilidad ya no se pueden someter solo a parámetros religiosos, sino a criterios morales o jurídicos7.",09/12/2021,Itza
E weee,9/13/21,Itza
Quieres una llave?,9/13/21,Itza
listo,9/16/21,Itza
Lo encontré jajaja,9/17/21,Itza
Ahí voy,9/19/21,Itza
ahorita lo imprimo,9/21/21,Itza
ponle imagenes y ledas una leida al trabajo en word,9/21/21,Itza
cada colo marca de donde a donde va cada diapositiva para que no te pierdas,9/21/21,Itza
e el power viene cortado para que digas más,9/21/21,Itza
"lo de rojo son los subtemas, solo para que te guies",9/21/21,Itza
https://vm.tiktok.com/ZMRpoFqyQ/,9/23/21,Itza
https://vm.tiktok.com/ZMRpohNr3/,9/23/21,Itza
https://vm.tiktok.com/ZMRpoAHQC/,9/23/21,Itza
https://vm.tiktok.com/ZMRpokaTm/,9/23/21,Itza
https://vm.tiktok.com/ZMRpoM39M/,9/23/21,Itza
https://vm.tiktok.com/ZMRpoanj6/,9/23/21,Itza
https://vm.tiktok.com/ZMRpoFnVC/,9/23/21,Itza
https://vm.tiktok.com/ZMRpoaFGH/,9/23/21,Itza
https://vm.tiktok.com/ZMRpo59BU/,9/23/21,Itza
https://vm.tiktok.com/ZMRpo62Xs/,9/23/21,Itza
