content,day,person
Xd pero pasas hasta la otra semana,1/3/202,Paco
Xd,1/3/202,Paco
Espero llegues,1/3/202,Paco
Ya nos puso a hacer ejercicio porque dogo se puso nervioso y no lo supo explicar,1/3/202,Paco
Si,1/3/202,Paco
Xd,1/3/202,Paco
Es un poco curioso,1/3/202,Paco
Si,1/3/202,Paco
Jajaja si,1/3/202,Paco
Y manu no llego,1/3/202,Paco
Ontas,1/3/202,Paco
Y si yo temí de chocar como 5 veces ayer,2/3/202,Paco
Igual que entre semana,3/3/202,Paco
Seve chido para pero muy angosto,4/3/202,Paco
Di,4/3/202,Paco
Se me hace muy angosto,4/3/202,Paco
Pregunta medidas,4/3/202,Paco
Y según yo ese esta en waltmart y amazon,4/3/202,Paco
Umm si es el mismo?,4/3/202,Paco
El único problema que veo con esos escritorios es la inestabilidad,4/3/202,Paco
Pero si si esta weno el que vende acá arriba,4/3/202,Paco
Posiblemente si no esta bien esquinado y te llegas a recargar mucho,4/3/202,Paco
"Osea puedes, que acabe bien es otra cosa jaja",4/3/202,Paco
Jajaja osea si pero tal vez no ella en la espalda jaja,4/3/202,Paco
Jajaja donde andas pa,4/3/202,Paco
?,4/3/202,Paco
Jaja xd no se te hizo ya tarde?,4/3/202,Paco
"A va, weno ten cuidado no te vallas a resfriar",4/3/202,Paco
Chi guapo,4/3/202,Paco
Ya llegaste,4/3/202,Paco
Jaja xd,4/3/202,Paco
Y rafa?,4/3/202,Paco
A xd,4/3/202,Paco
Jsjs,4/3/202,Paco
Venn,4/3/202,Paco
Corre,4/3/202,Paco
Nomas xd,4/3/202,Paco
Jsjs,4/3/202,Paco
Ya es clase,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Paco están de oferta los muebles en mercado libre,4/3/202,Paco
Se ven ofertas buenas,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Jaja para que carges tu cel,4/3/202,Paco
Por eso trae para los cables a la derecha,4/3/202,Paco
Jaja y si,4/3/202,Paco
Ya salieron?,4/3/202,Paco
Jaja que no era un cuestionario?,4/3/202,Paco
Nosotros seguimos en expos,4/3/202,Paco
:(,4/3/202,Paco
Si la neta,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Apura,4/3/202,Paco
Ya casi,4/3/202,Paco
Xd,4/3/202,Paco
Ya esta acabando el último,4/3/202,Paco
Ven por mi xd,4/3/202,Paco
Xvideos.com,4/3/202,Paco
Ya esta,4/3/202,Paco
Paque te desastres pa,4/3/202,Paco
Jajaja,4/3/202,Paco
Vale,4/3/202,Paco
Tu solo disfruta,4/3/202,Paco
Y pronto en ese escritorio nuevo,4/3/202,Paco
Jaja pero enla madre de otro sentido o bien en la madre,4/3/202,Paco
Que le anda diciendo,4/3/202,Paco
Saca chisme,4/3/202,Paco
Jaja,4/3/202,Paco
Salte al pasillo casual,4/3/202,Paco
Sube como que vas a la azotea,4/3/202,Paco
Maybe,4/3/202,Paco
Están en rol,4/3/202,Paco
Jajaja,4/3/202,Paco
Son sad9,4/3/202,Paco
Obvio,4/3/202,Paco
Jajaja que tal si están peleando en chino,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Jaja oye la ximena renta sola con su hijo?,4/3/202,Paco
Es de donde te digo,4/3/202,Paco
Deja te paso el numero,4/3/202,Paco
‎Habanero Bueno.vcf (archivo adjunto),4/3/202,Paco
Jaja xd,4/3/202,Paco
Si no tiene hijos y soltera nos hacemos vecinos,4/3/202,Paco
Jaja,4/3/202,Paco
Okey no,4/3/202,Paco
Tu crea conecte y va,4/3/202,Paco
Te mando caps del proceso,4/3/202,Paco
Jajaja pero cuando,4/3/202,Paco
Mira si no tiene hijos jalo,4/3/202,Paco
Y si,4/3/202,Paco
Jaja puede ser,4/3/202,Paco
No estoy pa andar criando,4/3/202,Paco
Tu no,4/3/202,Paco
Jaja igual ahí prestas,4/3/202,Paco
Apoco,4/3/202,Paco
Osea si pero no,4/3/202,Paco
Jaja,4/3/202,Paco
Jaja bueno eso si pa pero no se para algo medio serio no jala,4/3/202,Paco
Si osea pa aventuras esta super,4/3/202,Paco
Pero para más nah,4/3/202,Paco
Jaja osea,4/3/202,Paco
Eso si,4/3/202,Paco
Jajaja,4/3/202,Paco
Vale pa,4/3/202,Paco
Pero pasa conecte,4/3/202,Paco
Yo jalo,4/3/202,Paco
Saco al Edwin fiestero ligador,4/3/202,Paco
A ver pasa foto de los del grupo,4/3/202,Paco
Jaja,4/3/202,Paco
Simon,4/3/202,Paco
El Edwin de la fiesta de dogo,4/3/202,Paco
Pasa xd,4/3/202,Paco
Vecina Alejandra?+,4/3/202,Paco
Jajaja,4/3/202,Paco
A es esa,4/3/202,Paco
Como así pai,4/3/202,Paco
Yo hiba a jugar de tin marim,4/3/202,Paco
Eso si pa,4/3/202,Paco
Aparte ya esta doña dices,4/3/202,Paco
Jaja,4/3/202,Paco
Obvio,4/3/202,Paco
Y ahorita es ximena no jaja,4/3/202,Paco
Alejandra ximena,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Jajaj a vale,4/3/202,Paco
Jaja será en otra ocasión el dejar al niño sin papa,4/3/202,Paco
Jajaja solo bromeo,4/3/202,Paco
Pa,4/3/202,Paco
Pero con ximena no jaja,4/3/202,Paco
https://vm.tiktok.com/ZMMYhKBbt/,4/3/202,Paco
Así la pondremos en la fiesta,4/3/202,Paco
Osea si pa,4/3/202,Paco
Pero digo en general todos,4/3/202,Paco
Todo consensuado,4/3/202,Paco
Sino no,4/3/202,Paco
Un no es un no pa,4/3/202,Paco
Jaja,4/3/202,Paco
Jajaja no se,4/3/202,Paco
Posiblemente si,4/3/202,Paco
Y manu sea el adulto responsable,4/3/202,Paco
Mira de últimas si no se amarra ximena ya dormimos empiernados,4/3/202,Paco
Jaja ya ves es un ganar ganar,4/3/202,Paco
https://vm.tiktok.com/ZMMYkVpn1/,4/3/202,Paco
Pa,4/3/202,Paco
Me puse,4/3/202,Paco
A pensar,4/3/202,Paco
Y ocupo follar jaja,4/3/202,Paco
Osea si y no,4/3/202,Paco
Donde?,4/3/202,Paco
Siii,4/3/202,Paco
Jaja neta,4/3/202,Paco
Jaja no me acuerdo de esa parte,4/3/202,Paco
Jaja es de chocolate esa,4/3/202,Paco
Yo también estudie la pirámide en prepa y eso no venia,4/3/202,Paco
"Jajaja ya ya, porque será que en las escuelas públicas lo omitiran jaja",4/3/202,Paco
Para evitar hijos prematuros,4/3/202,Paco
Paco tutoriales,4/3/202,Paco
Jaja lo peor es que pasa we,4/3/202,Paco
Y luego hasta ni les importaba si había alguien cagando,4/3/202,Paco
Create tu cuenta de tictoks tutoriales,4/3/202,Paco
Hoy en avanzadas me puse a pensar en volver a ligar a esme,4/3/202,Paco
Jaja como yo en los pasillos de escom,4/3/202,Paco
We estaba cagado en vocacional porque como había más mujeres era bien fácil comerse unas super ufffff,4/3/202,Paco
<Multimedia omitido>,4/3/202,Paco
Rifarias,4/3/202,Paco
La que es mi ex y a la cual a dani le gustaba,4/3/202,Paco
La que hizo trasformación,4/3/202,Paco
Osea si pa pero no se ya soy más culo que antes pero voy a intentarlo,4/3/202,Paco
Neta,4/3/202,Paco
En vocacional era muy facil,4/3/202,Paco
Jaja pero no había antes en el último piso,4/3/202,Paco
Aparte hay un punto siego bien cabron,4/3/202,Paco
Osea si we pero meh,4/3/202,Paco
Nose eh cambiado todo depende de mi outfit,4/3/202,Paco
Jaja le tengo miedo a la funa,4/3/202,Paco
Obvio pa puro data science,4/3/202,Paco
Si quiero siento que hay un 70 de posibilidades,4/3/202,Paco
Si we aparte si voy arreglado agarro una confianzota pero meda una hueva,4/3/202,Paco
Yo soy un pan un amor de persona,4/3/202,Paco
Siiii la verdad aunque no se si laten las weras pero más como la de isac,4/3/202,Paco
No se we la neta soy huevon,4/3/202,Paco
Osea si,4/3/202,Paco
Exacto,4/3/202,Paco
A,4/3/202,Paco
No se la verdad la veo muy enamorada de el,4/3/202,Paco
A caray como apoco si le das estas seguro de bajárselo?,4/3/202,Paco
Bajarsela,4/3/202,Paco
Jaja apoco si,4/3/202,Paco
Jajaj te diría 500 varos si lo logras a esa morra,4/3/202,Paco
Jajaja mi suerte de apuestas ya me la gaste,4/3/202,Paco
Jaja por eso soy consciente y no te apuesto amigo aparte que seguramente me mataría mich,4/3/202,Paco
Jajaja,4/3/202,Paco
Pero volviendo al tema no se quien crees que haga bonita pareja conmigo?,4/3/202,Paco
Siii es el gran pedo,5/3/202,Paco
Si,5/3/202,Paco
Te lo mando,5/3/202,Paco
<Multimedia omitido>,5/3/202,Paco
Si,5/3/202,Paco
Te manda al buzón o que?,5/3/202,Paco
A lo mejor anda ocupado,5/3/202,Paco
Xd,5/3/202,Paco
A esperar,5/3/202,Paco
We manu sale alas 4:30,5/3/202,Paco
Y yo alas 6,5/3/202,Paco
Xd,5/3/202,Paco
Si te digo que nuestros profes son super barcos,5/3/202,Paco
Ya volviste a marcar a los fletes?,5/3/202,Paco
A xd,5/3/202,Paco
Jaja,5/3/202,Paco
Pensé que aún no salias,5/3/202,Paco
Jajaja,5/3/202,Paco
Ahora si saliste temprano,5/3/202,Paco
Yo ando esperando rtp,5/3/202,Paco
Porque no hay por lo del comipens,5/3/202,Paco
Jajaj que buen servicio,5/3/202,Paco
Jajaja,5/3/202,Paco
Posiblemente dani se lo contagio,5/3/202,Paco
No se pero maybe si sabes osea es su sinodal,5/3/202,Paco
O director no recue,5/3/202,Paco
Recuerdo,5/3/202,Paco
Si,5/3/202,Paco
Mira pa,5/3/202,Paco
<Multimedia omitido>,5/3/202,Paco
Caminamos chuecos nada mas,5/3/202,Paco
Jajajaja,5/3/202,Paco
Romperse el tobillo cuenta?,5/3/202,Paco
<Multimedia omitido>,5/3/202,Paco
Pobre señor no te escucho,5/3/202,Paco
Ya estaba viejito,5/3/202,Paco
Yo le tuve que hablar fuerte para bajarme,5/3/202,Paco
Como estuvo la mudanza pai?,6/3/202,Paco
No pa en mi casa mi papá es el que solda si se ocupa,6/3/202,Paco
Donde andas pa,6/3/202,Paco
Coyeye,6/3/202,Paco
Coyeyeye más rapido,6/3/202,Paco
012180015909121048,6/3/202,Paco
Como va tu clase guapo,6/3/202,Paco
Jaja xd,6/3/202,Paco
A nosotros ya nos mandó a la verga,6/3/202,Paco
Jaja y si,6/3/202,Paco
Xd la doña de tu lado se bajo media calle después de ti,6/3/202,Paco
Porque,6/3/202,Paco
Jaja,6/3/202,Paco
?,6/3/202,Paco
Pa entonces que mona china?,7/3/202,Paco
Sacas discord pa,7/3/202,Paco
Y ves,7/3/202,Paco
Va te veo en discord,7/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
Que onda pai,8/3/202,Paco
Como te fue en los partidos,8/3/202,Paco
Xd,8/3/202,Paco
A no es viernes,8/3/202,Paco
Que pex si se mudo rafa ya?,8/3/202,Paco
Aja,8/3/202,Paco
Jaja,8/3/202,Paco
Acabaron comprando algo?,8/3/202,Paco
Pero ya esta con tigo ahí,8/3/202,Paco
Jaja vale en cuanto les salio,8/3/202,Paco
A valr,8/3/202,Paco
Jaja suena muy barato para ikea,8/3/202,Paco
Jaja compras chidas,8/3/202,Paco
Jaja estaba chido o por?,8/3/202,Paco
8000?,8/3/202,Paco
Es un vergo,8/3/202,Paco
Jaja,8/3/202,Paco
"Jaja que bueno que no se dejó rafa, eso es una estufa",8/3/202,Paco
<Multimedia omitido>,8/3/202,Paco
Umm una freidora de aire micro o muchas cosas hasta una buena mesa,8/3/202,Paco
<Multimedia omitido>,11/3/20,Paco
Me acordé de tus llaves,11/3/20,Paco
No son vecinos,11/3/20,Paco
Ontas,11/3/20,Paco
A,11/3/20,Paco
Y eso,11/3/20,Paco
Que pex,11/3/20,Paco
Fuiste ala chamba?,11/3/20,Paco
A,11/3/20,Paco
No llegaste a botello?,11/3/20,Paco
A,11/3/20,Paco
3er falto,11/3/20,Paco
Mamo,11/3/20,Paco
Jaja hay paco,11/3/20,Paco
Jaja por lo de las marchas?,11/3/20,Paco
Ahora ocupas salir super temprano siempre,11/3/20,Paco
Pa,11/3/20,Paco
Para llegar a botello,11/3/20,Paco
No,11/3/20,Paco
Pa este parcial ocupadas volver el domingo,11/3/20,Paco
Jajaja eso es lo bueno,11/3/20,Paco
Aun vienes lejos pa?,11/3/20,Paco
Xd,11/3/20,Paco
Van seguir ahí?,11/3/20,Paco
Vamos para el satar,11/3/20,Paco
<Multimedia omitido>,12/3/20,Paco
Xd,12/3/20,Paco
Ya estoy esperando rtp,12/3/20,Paco
Pa,12/3/20,Paco
En unos 15 o 20 llego,12/3/20,Paco
Xd pa,12/3/20,Paco
Sip,12/3/20,Paco
Ya llegue pa,12/3/20,Paco
null,12/3/20,Paco
Los perros de tu vecina si cagan se echaron un mojon del tamaño de un burro,12/3/20,Paco
Jaja no te preocupes,12/3/20,Paco
Guapo,12/3/20,Paco
<Multimedia omitido>,12/3/20,Paco
Pon atención cumpleañero,12/3/20,Paco
Jaja nada,12/3/20,Paco
Xd andas bien ido pa,12/3/20,Paco
Todo bien?,12/3/20,Paco
Pero de azúcar o de ánimos?,12/3/20,Paco
Te sobre cargamos de amor y de gente?,12/3/20,Paco
Apoco ya tienes hambre?,12/3/20,Paco
"No se paquito, pero esperemos si sea eso",12/3/20,Paco
<Multimedia omitido>,12/3/20,Paco
Pa,12/3/20,Paco
Xd,12/3/20,Paco
Jaja,12/3/20,Paco
Con ella ya tengo historia,12/3/20,Paco
Fue como que estaba muy chico para ella,12/3/20,Paco
3,12/3/20,Paco
No,12/3/20,Paco
Es como manu,12/3/20,Paco
Jaja,12/3/20,Paco
Osea,12/3/20,Paco
Me refiero que tiene la edad de manu,12/3/20,Paco
Pero no se pa siento que manu termino también parte de mi culpa,12/3/20,Paco
Osea si,12/3/20,Paco
Por lo que paso con vane,12/3/20,Paco
Osea si pa pero por esoble deje de hablar porque si me culie sentí feo porque me desconoci,12/3/20,Paco
Tu crees?,12/3/20,Paco
Weno jsjs y al final so pediste de cenar?,12/3/20,Paco
Xd,12/3/20,Paco
Bistec en panizado y papas,12/3/20,Paco
Pacoooo,13/3/20,Paco
Ya se como puedas hacer,13/3/20,Paco
Con visual basic porque si programas la función la puedes llamar como cualquier otra funcion,13/3/20,Paco
https://support.microsoft.com/es-es/office/crear-funciones-personalizadas-en-excel-2f06c10b-3622-40d6-a1b2-b6748ae8231f,13/3/20,Paco
Consideralo pa,13/3/20,Paco
Jaja vale,13/3/20,Paco
Se ve piola,13/3/20,Paco
Ya vienes a la escuela pa?,14/3/20,Paco
Jaja vale xd,14/3/20,Paco
En el coche,14/3/20,Paco
Va,14/3/20,Paco
Apenas va botello,14/3/20,Paco
A tu salon,14/3/20,Paco
Jaja si te vi,14/3/20,Paco
No va a revisar ya,14/3/20,Paco
Ya vienen pa ca pa?,14/3/20,Paco
Jaja vale,14/3/20,Paco
Están en el waltmart?,14/3/20,Paco
Que paso pa,14/3/20,Paco
Perdón no senti,14/3/20,Paco
Aun siguen ahí?,14/3/20,Paco
A,14/3/20,Paco
Jaja,14/3/20,Paco
No pa gracias,14/3/20,Paco
Jajaj,14/3/20,Paco
Simón un rato,14/3/20,Paco
Entonces llego a la casa o a las hamburguesa pa?,14/3/20,Paco
Pipipi,14/3/20,Paco
Jaja voy xd ya ando en el chedraui,14/3/20,Paco
Ya llegue pa,14/3/20,Paco
matriz = np.array([,15/3/20,Paco
matriz <- matrix(c(,15/3/20,Paco
Guapo vamos a dejar la bici de dani,15/3/20,Paco
Ahorita volvemos,15/3/20,Paco
Ontan,15/3/20,Paco
<Multimedia omitido>,15/3/20,Paco
Mira pa,15/3/20,Paco
Moto viaje,15/3/20,Paco
Aaaaa,15/3/20,Paco
Ahorita mando foto,15/3/20,Paco
Pero son unas pestañas,15/3/20,Paco
A vale ahorita como en una hora pa,15/3/20,Paco
Vale,15/3/20,Paco
Vale,15/3/20,Paco
<Multimedia omitido>,15/3/20,Paco
Mira pa,15/3/20,Paco
Así esta,15/3/20,Paco
Solo ue me acabo de dar cuenta que para subir y bajar el volumen tienes que recargarte un poco pero lo demás jala bien,15/3/20,Paco
Si lo quieren?,15/3/20,Paco
https://app.flutterflow.io/share/m-i-a-uy-g-u-a-1exou0,16/3/20,Paco
eso es lo que hay pa,16/3/20,Paco
Jaja no hay pex pa,16/3/20,Paco
Oye,16/3/20,Paco
Lleg9,16/3/20,Paco
En 16,16/3/20,Paco
0 20,16/3/20,Paco
Jaja xd,16/3/20,Paco
Me quede dormido tarde,16/3/20,Paco
Xd,16/3/20,Paco
Xd,16/3/20,Paco
Métete  si quieres,16/3/20,Paco
Si te da tiempo,16/3/20,Paco
Sip,16/3/20,Paco
Pa,16/3/20,Paco
Al parecer si voy rapido,16/3/20,Paco
Xd,16/3/20,Paco
Voy en coche,16/3/20,Paco
Me llevo mi papa,16/3/20,Paco
Xd,16/3/20,Paco
Jjaja va,16/3/20,Paco
Si había trafico,16/3/20,Paco
Ya llegue pa,16/3/20,Paco
Pa,16/3/20,Paco
null,16/3/20,Paco
null,16/3/20,Paco
Pa,16/3/20,Paco
<Multimedia omitido>,16/3/20,Paco
Ese es nuestra raza jaja,16/3/20,Paco
<Multimedia omitido>,16/3/20,Paco
Uno de esos?,16/3/20,Paco
Cual de todos,16/3/20,Paco
Jaja vale,16/3/20,Paco
Pero en chiquito,16/3/20,Paco
Nooooo,19/3/20,Paco
Valio,19/3/20,Paco
Voy a hacer llaveros de este meme bro,19/3/20,Paco
Ontas,19/3/20,Paco
A,19/3/20,Paco
Vas a entrar,19/3/20,Paco
A procesos,19/3/20,Paco
?,19/3/20,Paco
Voy,19/3/20,Paco
Te anda viendo raro la doña,19/3/20,Paco
Ya salgan de liderazgo,19/3/20,Paco
Xd,19/3/20,Paco
Ontas,20/3/20,Paco
Guapo,20/3/20,Paco
A y eso?,20/3/20,Paco
A xd,20/3/20,Paco
Chat hace todo,20/3/20,Paco
Ah xd,20/3/20,Paco
Vas a entrar pa,20/3/20,Paco
?,20/3/20,Paco
Xd,20/3/20,Paco
Donde vienes,21/3/20,Paco
A xd,21/3/20,Paco
Jaja,21/3/20,Paco
Espero llegues,21/3/20,Paco
Jaja xd,21/3/20,Paco
Jajah me imagino guapo,21/3/20,Paco
Jsjs estamos en el chisme,21/3/20,Paco
En el 4113,21/3/20,Paco
A vale vamos por agua,21/3/20,Paco
ubicación en tiempo real compartida,21/3/20,Paco
Tamos en escaleras,21/3/20,Paco
De enmedio,21/3/20,Paco
Si,21/3/20,Paco
Agua,21/3/20,Paco
Ya,21/3/20,Paco
<Multimedia omitido>,21/3/20,Paco
Ontas,22/3/20,Paco
A xd,22/3/20,Paco
Jajaja,22/3/20,Paco
F,22/3/20,Paco
Wuapo,22/3/20,Paco
Nada xd no hubo nahum,22/3/20,Paco
Ya vienes pa botello guapo,22/3/20,Paco
O te quedaras en casita?,22/3/20,Paco
Vale guapo,22/3/20,Paco
Con cuidado,22/3/20,Paco
Jaja vale,22/3/20,Paco
Te andamos esperando,22/3/20,Paco
En sañud,22/3/20,Paco
Salud,22/3/20,Paco
Como se van air pa?,25/3/20,Paco
Digo por si manu los va a llevar o no esque la otra vez llevo a rafa uwu,25/3/20,Paco
Weno pa,25/3/20,Paco
Xd es que a mi me conviene más ir en taxi o rtp pa por eso pregunto guapo por si salgo antes si los espero o no,25/3/20,Paco
Na aun no salgo pero va wuapo te aviso,25/3/20,Paco
Ya salí padrino,25/3/20,Paco
Va pa,25/3/20,Paco
Sip,25/3/20,Paco
https://vm.tiktok.com/ZMMyofrec/,27/3/20,Paco
Pa cuando asi 0a,27/3/20,Paco
Oye pa creo te caigo en unos 40 o una hora no hay pex?,27/3/20,Paco
Chi,27/3/20,Paco
Ya llegue pa,27/3/20,Paco
null,27/3/20,Paco
Pa,31/3/20,Paco
Rutina,31/3/20,Paco
Mañana día de gym,31/3/20,Paco
Va va jalo mañana a que hora iras?,31/3/20,Paco
Y así nos organizamos,31/3/20,Paco
Pero igual planeo ir 6 días,31/3/20,Paco
Va va,31/3/20,Paco
Va yo jalo,31/3/20,Paco
Nomas me avisas como a que hroa,31/3/20,Paco
Hora,31/3/20,Paco
Huy pa no podre jsjs a esa hora tengo entrevista,31/3/20,Paco
Pero creo iré más temprano,31/3/20,Paco
Ya andas acá?,31/3/20,Paco
Va deja todo y céntrate en mimir mañana es un día largo,31/3/20,Paco
Sip gracias guapote,31/3/20,Paco
Como fue tu primer día pa?,1/4/202,Paco
Como así sales a las 12?,1/4/202,Paco
Ya vi xd,1/4/202,Paco
Fue medio rapido,1/4/202,Paco
Hay si va muy enserió,1/4/202,Paco
Oye pa,1/4/202,Paco
Me movieron la entrevista te veo como a las 5 pal gym,1/4/202,Paco
Va,1/4/202,Paco
Xd que andas comiendo,1/4/202,Paco
Y porque no a mi,1/4/202,Paco
Que lap te dieron?,1/4/202,Paco
En la cocina de ahí?,1/4/202,Paco
Entre becarios?,1/4/202,Paco
Entonces ya saliste?,1/4/202,Paco
Jaja nice,1/4/202,Paco
Jaja valr,1/4/202,Paco
Hay cuentas chisme,1/4/202,Paco
Ya por donde vienes pa?,1/4/202,Paco
Jaja como asi,1/4/202,Paco
Pa,1/4/202,Paco
Ya casi es tiempo de enteeno,1/4/202,Paco
Jaja,1/4/202,Paco
Me llevo botella de agua?,1/4/202,Paco
Si eres y seras,1/4/202,Paco
Qjaja xd,1/4/202,Paco
Ya nomas tomas rtp y llegas pa,1/4/202,Paco
Jaja y eso porque tienes que dejarla?,1/4/202,Paco
Va entonces ya me voy a los rtp,1/4/202,Paco
Pa ahorita en un rato ponernos mamadisimos,1/4/202,Paco
Me voy a ir caminando a la base pa me hago 15 y unos 15 a 30 que espere rtp,1/4/202,Paco
Comp una caguama,1/4/202,Paco
Jaja sip,1/4/202,Paco
Igual ahorita que acabe de ver winni de poo la película,1/4/202,Paco
<Multimedia omitido>,1/4/202,Paco
Jaja y si,1/4/202,Paco
Eh,1/4/202,Paco
Si mucho,1/4/202,Paco
Yo sigo esperando,1/4/202,Paco
:(,1/4/202,Paco
Jaja si eres,1/4/202,Paco
Te veo en el gym o en tu casa?,1/4/202,Paco
Ya voy pai,1/4/202,Paco
Di quieres en el gym guapo,1/4/202,Paco
Llego como en 10 min,1/4/202,Paco
Si gustas esperarme en la parada del rtp,1/4/202,Paco
Ya estoy acá pa,1/4/202,Paco
<Multimedia omitido>,1/4/202,Paco
We,1/4/202,Paco
Esta la morra,1/4/202,Paco
De las escaleras,1/4/202,Paco
La de pans ve,1/4/202,Paco
We le toque el ql sin querer casi se parte su madre,1/4/202,Paco
Freno el camión,1/4/202,Paco
Y callo,1/4/202,Paco
No solo perdon me dijo,1/4/202,Paco
No no,1/4/202,Paco
Osea ella se callo en mi mano se podría decir,1/4/202,Paco
<Multimedia omitido>,1/4/202,Paco
Eliminaste este mensaje.,1/4/202,Paco
Mira pa,1/4/202,Paco
Si estaba duro y suave,1/4/202,Paco
Espero c9ntendra mi lap y tablet,1/4/202,Paco
En el gym,1/4/202,Paco
Y escuela posiblemente,1/4/202,Paco
Siii,1/4/202,Paco
We super rico la neta de las mejores agarradas de nalga,1/4/202,Paco
Tendre,1/4/202,Paco
Jsjs aún puedo pedir,1/4/202,Paco
Lo voy a pedir,1/4/202,Paco
Pero esta pesado el candado pa,1/4/202,Paco
Xd,2/4/202,Paco
Pa entonces como va la chamo,2/4/202,Paco
Xd,2/4/202,Paco
Eso así se hace,2/4/202,Paco
Entonces pa a que hora le damos hoy?,2/4/202,Paco
Avisas,2/4/202,Paco
Simon,2/4/202,Paco
No estuvo tranqui,2/4/202,Paco
Todo chido la explotación pa?,2/4/202,Paco
Va igual y te caigo antes pa platicar,2/4/202,Paco
Va?,2/4/202,Paco
Simon,2/4/202,Paco
A penas voy pai,2/4/202,Paco
Ya toy,2/4/202,Paco
Afuera,2/4/202,Paco
Pai,2/4/202,Paco
null,2/4/202,Paco
Ya ando cenando guapo,2/4/202,Paco
Menos mal pai,2/4/202,Paco
Jaja por,2/4/202,Paco
Pa,2/4/202,Paco
Hay que ir con todo,2/4/202,Paco
https://vm.tiktok.com/ZMMacxUDx/,2/4/202,Paco
Seré jaja,2/4/202,Paco
Seremos,2/4/202,Paco
https://vm.tiktok.com/ZMMacmNwq/,2/4/202,Paco
Metas,2/4/202,Paco
Eso es malo,2/4/202,Paco
Y bueno,2/4/202,Paco
Lo más seguro este un proceso de monitoreo,2/4/202,Paco
Igual si no apaga botonaso es una thinkpad no le pasa nada,2/4/202,Paco
De echo no deberías apagarla,2/4/202,Paco
Esta diseñada para no apagarse,2/4/202,Paco
Osea esque cuando la cierras entra en modo reposo como cualquier laptop después de 30 min entra en modo hiper reposo todo se apaga pero sigue guardando en memoria tu procesos,2/4/202,Paco
Es para un encendido más rapido,2/4/202,Paco
https://vm.tiktok.com/ZMMacV1JH/,2/4/202,Paco
Así estoy pai,2/4/202,Paco
Sip,2/4/202,Paco
https://vm.tiktok.com/ZMMacnyQS/,2/4/202,Paco
Jaja xd a ver quien se rinde antes el o yo jaja okey no yo no me rendire,2/4/202,Paco
<Multimedia omitido>,2/4/202,Paco
<Multimedia omitido>,2/4/202,Paco
https://vm.tiktok.com/ZMMac3nwB/,2/4/202,Paco
https://vm.tiktok.com/ZMMa3Y8mE/,2/4/202,Paco
Yo,2/4/202,Paco
<Multimedia omitido>,2/4/202,Paco
Me voy*,2/4/202,Paco
Exacto como nosotros jaja,2/4/202,Paco
Eso espero,2/4/202,Paco
Jaja dios diga,2/4/202,Paco
We ahorita que me bañe,2/4/202,Paco
Vi un músculo que nunca antes me había visto,2/4/202,Paco
<Multimedia omitido>,2/4/202,Paco
Pa,2/4/202,Paco
Pa,2/4/202,Paco
Primero que nada perdón se me olvida que ya te andas durmiendo,2/4/202,Paco
No we es por el hombro,2/4/202,Paco
Pero se ve chido,2/4/202,Paco
Si lo diria,2/4/202,Paco
Huy no se que decirle,2/4/202,Paco
<Multimedia omitido>,2/4/202,Paco
Xd el pollo hizo daño?,2/4/202,Paco
Lele pancha,2/4/202,Paco
Pum pum peditos malos dejen a mi princesa,2/4/202,Paco
A ya entendí xd lo normal,2/4/202,Paco
Jaja no se es que muy aventado o morir no habrá un punto medio?,2/4/202,Paco
Si le digo que es lo que más te a gustado de tus vacaciones porque por el momento a mi solo tu,2/4/202,Paco
Que tal eso?,2/4/202,Paco
Jaja va,2/4/202,Paco
Ya me metiste en mi modo buchon quiero mi corrido jaja,2/4/202,Paco
Si lo mande xd,2/4/202,Paco
A ver que dice,2/4/202,Paco
Ya quiero que suene un cuerno de chivo en 5 en la 12 volando cabezas,2/4/202,Paco
https://vm.tiktok.com/ZMMaKmbaF/,2/4/202,Paco
Me recordó a tu saca culito,2/4/202,Paco
Ya mamo,3/4/202,Paco
Necesitas jalar por algo unico,3/4/202,Paco
O siempre sete jalara todo,3/4/202,Paco
Y que pex pai te veo a la misma hora?,3/4/202,Paco
Este está mamoncillo,3/4/202,Paco
Aun no acabas ma chamba pa?,3/4/202,Paco
Simon,3/4/202,Paco
Sin pex,3/4/202,Paco
Xd pai,3/4/202,Paco
Voy llegando,3/4/202,Paco
Osea,3/4/202,Paco
Vamos al gym,3/4/202,Paco
Más al rato,3/4/202,Paco
Pero para cotorrear o ayudarte,3/4/202,Paco
<Multimedia omitido>,3/4/202,Paco
A la casa,3/4/202,Paco
No hay pex,3/4/202,Paco
Ya llegue pa,3/4/202,Paco
Una cena de fitness,3/4/202,Paco
Para compensar las calorías del déficit caleorico,3/4/202,Paco
